# 2theta_deg intensity
0.0800000000 8.8810374237890000e-01
0.0866259033 8.8592506402318172e-01
0.0932518066 8.8956777289824118e-01
0.0998777098 9.0119100258771945e-01
0.1065036131 8.8891841223911516e-01
0.1131295164 9.0240361913545197e-01
0.1197554197 8.8553477255210655e-01
0.1263813230 8.9839920513245697e-01
0.1330072262 8.8920989804072825e-01
0.1396331295 8.7588597007916169e-01
0.1462590328 8.8830189570038509e-01
0.1528849361 8.9802389162288865e-01
0.1595108394 8.8973754112517556e-01
0.1661367426 8.8732801354825963e-01
0.1727626459 8.6237464761907878e-01
0.1793885492 8.8263508629772891e-01
0.1860144525 8.6851102597459406e-01
0.1926403558 8.8295458851565811e-01
0.1992662590 8.8017674143352709e-01
0.2058921623 8.6873833947074852e-01
0.2125180656 8.6302308885310375e-01
0.2191439689 8.7284027450613977e-01
0.2257698722 8.7698099429580501e-01
0.2323957754 8.5890406715325307e-01
0.2390216787 8.6692185041749037e-01
0.2456475820 8.8087330794114327e-01
0.2522734853 8.6800318753855732e-01
0.2588993885 8.6868182115760539e-01
0.2655252918 8.4110385259014953e-01
0.2721511951 8.6331359459131829e-01
0.2787770984 8.7074941828853425e-01
0.2854030017 8.6284216923597490e-01
0.2920289049 8.4608420480399449e-01
0.2986548082 8.5548866457264572e-01
0.3052807115 8.5871909706282112e-01
0.3119066148 8.4215175718662583e-01
0.3185325181 8.5755859852233585e-01
0.3251584213 8.5368566848150818e-01
0.3317843246 8.6221777842871317e-01
0.3384102279 8.5206965190683670e-01
0.3450361312 8.5223760014841632e-01
0.3516620345 8.4880480621281629e-01
0.3582879377 8.2840956330334026e-01
0.3649138410 8.4151911962258752e-01
0.3715397443 8.3780549693033890e-01
0.3781656476 8.3706785744651213e-01
0.3847915509 8.2864163593323503e-01
0.3914174541 8.4109766855116042e-01
0.3980433574 8.3579109924604300e-01
0.4046692607 8.3613085305617962e-01
0.4112951640 8.3503882819889896e-01
0.4179210673 8.1534795231164781e-01
0.4245469705 8.3227822170041010e-01
0.4311728738 8.2585518846342365e-01
0.4377987771 8.2255393039664160e-01
0.4444246804 8.1901631192599689e-01
0.4510505837 8.2301653747197701e-01
0.4576764869 8.1516294068372819e-01
0.4643023902 8.0738857548699183e-01
0.4709282935 8.0968003614595185e-01
0.4775541968 7.9651079615875020e-01
0.4841801001 8.0721067250665113e-01
0.4908060033 7.9335663137556389e-01
0.4974319066 8.0345404251978969e-01
0.5040578099 7.7570967600851681e-01
0.5106837132 7.8519154554086601e-01
0.5173096165 7.7632108679116729e-01
0.5239355197 7.7717618417069023e-01
0.5305614230 7.8955937614391714e-01
0.5371873263 7.6370315438541170e-01
0.5438132296 7.6003539362640027e-01
0.5504391329 7.4199407448130217e-01
0.5570650361 7.5543671764824893e-01
0.5636909394 7.4549019772699898e-01
0.5703168427 7.2780289648808705e-01
0.5769427460 7.1651341696757564e-01
0.5835686492 7.1618477376756584e-01
0.5901945525 7.1458189722093901e-01
0.5968204558 6.8624812399695079e-01
0.6034463591 6.7421040292273215e-01
0.6100722624 6.4192032521550191e-01
0.6166981656 6.1248026338347905e-01
0.6233240689 5.7020364198843387e-01
0.6299499722 5.2084950168419841e-01
0.6365758755 4.5669289172702404e-01
0.6432017788 3.9741491482338998e-01
0.6498276820 3.4212902982699150e-01
0.6564535853 3.0077822252398195e-01
0.6630794886 2.6705902959139405e-01
0.6697053919 2.3550102486163088e-01
0.6763312952 2.1058776151460964e-01
0.6829571984 1.9068957273222506e-01
0.6895831017 1.7977594867163754e-01
0.6962090050 1.6483925679486691e-01
0.7028349083 1.4634312186247123e-01
0.7094608116 1.3021973731061123e-01
0.7160867148 1.3297084899221648e-01
0.7227126181 1.2671089621271289e-01
0.7293385214 1.1071356378444602e-01
0.7359644247 9.6301231330661971e-02
0.7425903280 9.3824320344143272e-02
0.7492162312 9.8941059827151220e-02
0.7558421345 9.6926862334841504e-02
0.7624680378 8.4147272058368208e-02
0.7690939411 6.9589862396073260e-02
0.7757198444 6.5215557073116090e-02
0.7823457476 7.0962003513302105e-02
0.7889716509 7.6991645854399271e-02
0.7955975542 7.0586785625270820e-02
0.8022234575 5.7787181102668200e-02
0.8088493608 4.9037797320674120e-02
0.8154752640 4.9570464638338536e-02
0.8221011673 5.7586517703440837e-02
0.8287270706 6.2385078149967729e-02
0.8353529739 5.7371767423364306e-02
0.8419788772 4.5841518122115496e-02
0.8486047804 3.5587296189225140e-02
0.8552306837 3.5976676110890060e-02
0.8618565870 4.3108318617300370e-02
0.8684824903 4.9930215941653186e-02
0.8751083936 5.0985518278094409e-02
0.8817342968 4.1140349524853410e-02
0.8883602001 3.0708790869578496e-02
0.8949861034 2.5909798425007863e-02
0.9016120067 3.0276727723744526e-02
0.9082379099 3.9452737985308482e-02
0.9148638132 4.3497056548744417e-02
0.9214897165 4.1787714292945727e-02
0.9281156198 3.2042098811616578e-02
0.9347415231 2.3320010045874119e-02
0.9413674263 2.0109484437142711e-02
0.9479933296 2.5625890403494545e-02
0.9546192329 3.3663805973640742e-02
0.9612451362 3.9394300148645194e-02
0.9678710395 3.6576163237645239e-02
0.9744969427 2.8049667387731250e-02
0.9811228460 1.9175796501083878e-02
0.9877487493 1.6128647919169799e-02
0.9943746526 2.0790247620702494e-02
1.0010005559 2.9157869929262791e-02
1.0076264591 3.6202497442425395e-02
1.0142523624 3.5468636524099019e-02
1.0208782657 2.9069317145010581e-02
1.0275041690 1.8987665270322848e-02
1.0341300723 1.3835762211200394e-02
1.0407559755 1.5860056093389575e-02
1.0473818788 2.4537077973251914e-02
1.0540077821 3.3465628695768614e-02
1.0606336854 3.6033161506303597e-02
1.0672595887 3.2101062616556764e-02
1.0738854919 2.2812221753973599e-02
1.0805113952 1.4351161077965208e-02
1.0871372985 1.2438455522214575e-02
1.0937632018 1.8791823148673774e-02
1.1003891051 2.9144213750944285e-02
1.1070150083 3.7504877308097838e-02
1.1136409116 3.8176889603817106e-02
1.1202668149 3.0881697174302704e-02
1.1268927182 1.9599872255699580e-02
1.1335186215 1.2521349198870983e-02
1.1401445247 1.3446299935791332e-02
1.1467704280 2.4134646164618277e-02
1.1533963313 3.6829354740909620e-02
1.1600222346 4.4569451291834504e-02
1.1666481379 4.3107489682512122e-02
1.1732740411 3.2001277458534927e-02
1.1798999444 1.9315377879719004e-02
1.1865258477 1.2471107351237985e-02
1.1931517510 1.7893734606308550e-02
1.1997776543 3.3680141198729606e-02
1.2064035575 5.0112169661939397e-02
1.2130294608 5.9398435610906811e-02
1.2196553641 5.4287912734400270e-02
1.2262812674 3.8499083787270079e-02
1.2329071707 2.1582624913190789e-02
1.2395330739 1.6378855508697100e-02
1.2461589772 2.9571483617872325e-02
1.2527848805 5.6782839022673351e-02
1.2594107838 8.1549161724045291e-02
1.2660366870 9.2509215343487050e-02
1.2726625903 7.9769292424067037e-02
1.2792884936 5.3552871311406090e-02
1.2859143969 3.0028498661050413e-02
1.2925403002 3.5720239672603245e-02
1.2991662034 8.0865813012298560e-02
1.3057921067 1.3873832305917297e-01
1.3124180100 1.8348273005217500e-01
1.3190439133 1.8458563281920659e-01
1.3256698166 1.3400617725261271e-01
1.3322957198 8.4487091656057625e-02
1.3389216231 1.5093324963818275e-01
1.3455475264 3.3608026448988665e-01
1.3521734297 5.2407559613839194e-01
1.3587993330 6.3700444888347751e-01
1.3654252362 6.9175603292471044e-01
1.3720511395 7.2052058946833486e-01
1.3786770428 7.2478138351645793e-01
1.3853029461 7.2079169826456757e-01
1.3919288494 7.2703624742850925e-01
1.3985547526 7.2562278283831949e-01
1.4051806559 6.9693028502817844e-01
1.4118065592 6.8684454428846309e-01
1.4184324625 6.8157016195742293e-01
