# 2theta_deg intensity
0.0800000000 8.6929117070231532e-01
0.0866055046 8.7472106470651401e-01
0.0932110092 8.6622100822169845e-01
0.0998165138 8.4292016058742936e-01
0.1064220183 8.4833416320910637e-01
0.1130275229 8.5573191815301308e-01
0.1196330275 8.5320590786078243e-01
0.1262385321 8.5383348179432694e-01
0.1328440367 8.7196781615862029e-01
0.1394495413 8.5363286875123323e-01
0.1460550459 8.7179974278926475e-01
0.1526605505 8.5441760008102074e-01
0.1592660550 8.6661702537498342e-01
0.1658715596 8.2537597930562612e-01
0.1724770642 8.5086019672238922e-01
0.1790825688 8.5033650982539366e-01
0.1856880734 8.5122408631786306e-01
0.1922935780 8.5268003740595288e-01
0.1988990826 8.4217556496746182e-01
0.2055045872 8.5516743605127532e-01
0.2121100917 8.4849885185927432e-01
0.2187155963 8.4982642305758527e-01
0.2253211009 8.4704541052809845e-01
0.2319266055 8.4538393173446513e-01
0.2385321101 8.4260958354740367e-01
0.2451376147 8.3005890029155383e-01
0.2517431193 8.4575930533409482e-01
0.2583486239 8.3367219232340062e-01
0.2649541284 8.5207355518664729e-01
0.2715596330 8.3437426055405139e-01
0.2781651376 8.4848792787641680e-01
0.2847706422 8.4056394522097710e-01
0.2913761468 8.4001522461344125e-01
0.2979816514 8.2537611229520647e-01
0.3045871560 8.4302810248739923e-01
0.3111926606 8.1274348459837109e-01
0.3177981651 8.2304393709310208e-01
0.3244036697 8.3608503214877361e-01
0.3310091743 8.2708279431996456e-01
0.3376146789 8.1254791515103852e-01
0.3442201835 8.2961885513962097e-01
0.3508256881 8.1839678151398954e-01
0.3574311927 8.1772405834613415e-01
0.3640366972 8.3026732805755066e-01
0.3706422018 8.3407577626803031e-01
0.3772477064 8.1021611990052833e-01
0.3838532110 8.1188749046633846e-01
0.3904587156 7.9780713196166508e-01
0.3970642202 8.0648794868744123e-01
0.4036697248 7.8303093313975447e-01
0.4102752294 7.8054276270218326e-01
0.4168807339 7.8973292695970809e-01
0.4234862385 7.5868361331504297e-01
0.4300917431 7.1240824772347022e-01
0.4366972477 6.6785222204482741e-01
0.4433027523 5.2689962357739661e-01
0.4499082569 2.9677877521275803e-01
0.4565137615 1.6126398343555726e-01
0.4631192661 1.0131544117506447e-01
0.4697247706 7.2163624235154794e-02
0.4763302752 5.5325482614511118e-02
0.4829357798 4.7326595367725439e-02
0.4895412844 4.2474356227979917e-02
0.4961467890 3.9471394489214877e-02
0.5027522936 3.6995142051268741e-02
0.5093577982 3.6616981938350897e-02
0.5159633028 3.6315127969590515e-02
0.5225688073 3.5868485165027671e-02
0.5291743119 3.5227025837988021e-02
0.5357798165 3.4908195804109789e-02
0.5423853211 3.4444689178269407e-02
0.5489908257 3.4769467874103309e-02
0.5555963303 3.4061034135599196e-02
0.5622018349 3.2826094323222657e-02
0.5688073394 3.2138609863540904e-02
0.5754128440 3.1718148579534373e-02
0.5820183486 3.0291451034865153e-02
0.5886238532 2.9773926439457789e-02
0.5952293578 2.8425065963208533e-02
0.6018348624 2.7907276470980596e-02
0.6084403670 2.7188451177628879e-02
0.6150458716 2.6033716976436652e-02
0.6216513761 2.5168366998538971e-02
0.6282568807 2.3965322712032916e-02
0.6348623853 2.3804473217932859e-02
0.6414678899 2.2332157019408834e-02
0.6480733945 2.0704427529905083e-02
0.6546788991 1.9881979510294925e-02
0.6612844037 1.8943761111226507e-02
0.6678899083 1.8498408603090637e-02
0.6744954128 1.7081930646003669e-02
0.6811009174 1.6283304740038553e-02
0.6877064220 1.5191529660346599e-02
0.6943119266 1.4311610875446683e-02
0.7009174312 1.3400996604460823e-02
0.7075229358 1.2745584380372803e-02
0.7141284404 1.2025421533667853e-02
0.7207339450 1.1181566509545771e-02
0.7273394495 1.0488922837143481e-02
0.7339449541 9.6707916294141352e-03
0.7405504587 9.2244040291149364e-03
0.7471559633 8.5559762565273027e-03
0.7537614679 7.9780662383886324e-03
0.7603669725 7.3381720864835855e-03
0.7669724771 6.9381184387184687e-03
0.7735779817 6.3978459560388654e-03
0.7801834862 5.9205258776133104e-03
0.7867889908 5.5183410483050470e-03
0.7933944954 5.2064298088065029e-03
0.8000000000 4.7820059716114803e-03
0.8066055046 4.4618816529406373e-03
0.8132110092 4.2108687556349552e-03
0.8198165138 3.9663341033897379e-03
0.8264220183 3.7549894847030362e-03
0.8330275229 3.4839180988975003e-03
0.8396330275 3.3120071231705407e-03
0.8462385321 3.1381968216652309e-03
0.8528440367 2.9450057690125720e-03
0.8594495413 2.7810316634940616e-03
0.8660550459 2.7206526238020426e-03
0.8726605505 2.6478792617612309e-03
0.8792660550 2.5447047904450649e-03
0.8858715596 2.4417951653428051e-03
0.8924770642 2.3886262505523584e-03
0.8990825688 2.3491843350341921e-03
0.9056880734 2.2820790983684954e-03
0.9122935780 2.2263988181197834e-03
0.9188990826 2.1884743305447714e-03
0.9255045872 2.1780572147423118e-03
0.9321100917 2.1228332107251662e-03
0.9387155963 2.1421629093173501e-03
0.9453211009 2.1033600682349011e-03
0.9519266055 2.0797723950468994e-03
0.9585321101 2.0954890370423118e-03
0.9651376147 2.0129244063398178e-03
0.9717431193 2.0527602714431482e-03
0.9783486239 2.0561414036400884e-03
0.9849541284 2.0267291758403459e-03
0.9915596330 1.9852233237842940e-03
0.9981651376 2.0185173299400068e-03
1.0047706422 1.9853003704530898e-03
1.0113761468 1.9905656920516058e-03
1.0179816514 1.9791698424399579e-03
1.0245871560 1.9596796899048340e-03
1.0311926606 1.9812153877709726e-03
1.0377981651 1.9321482884235713e-03
1.0444036697 1.9023631637862166e-03
1.0510091743 1.8657450422925842e-03
1.0576146789 1.8549760478616761e-03
1.0642201835 1.8573663376357586e-03
1.0708256881 1.8019256560144780e-03
1.0774311927 1.7654983704332721e-03
1.0840366972 1.7299442462158630e-03
1.0906422018 1.6892543612401154e-03
1.0972477064 1.6324179139149040e-03
1.1038532110 1.6025420548601225e-03
1.1104587156 1.5709239812207569e-03
1.1170642202 1.4939697774857758e-03
1.1236697248 1.4728855130818951e-03
1.1302752294 1.4220484968552381e-03
1.1368807339 1.3950833877095132e-03
1.1434862385 1.3536417176783307e-03
1.1500917431 1.2930696677773742e-03
1.1566972477 1.2556573423703971e-03
1.1633027523 1.2119864182564342e-03
1.1699082569 1.1668507137751736e-03
1.1765137615 1.1201220292680393e-03
1.1831192661 1.0697176073325900e-03
1.1897247706 1.0383053932499105e-03
1.1963302752 9.8268409247680285e-04
1.2029357798 9.1882760649309098e-04
1.2095412844 8.9744237314689102e-04
1.2161467890 8.6188177610102589e-04
1.2227522936 8.1385873233050460e-04
1.2293577982 7.8889834483751500e-04
1.2359633028 7.3915655144164802e-04
1.2425688073 7.1166382723620507e-04
1.2491743119 6.8355846991579423e-04
1.2557798165 6.5014038622364248e-04
1.2623853211 6.2386916777475176e-04
1.2689908257 5.8657242258904779e-04
1.2755963303 5.7010832650679724e-04
1.2822018349 5.3850967031922401e-04
1.2888073394 5.1414569189835505e-04
1.2954128440 5.0380206054887887e-04
1.3020183486 4.8510648209854252e-04
1.3086238532 4.5520275293101835e-04
1.3152293578 4.4134267773665809e-04
1.3218348624 4.3386311607212662e-04
1.3284403670 4.2297818086933444e-04
